Kecamatan,Jumlah SD,Jumlah SMP,Jumlah SMA,Jumlah RS Umum,Jumlah Posyandu,Luas Sawah,Luas Area Perkebunan,Luas Area Kolam (ha),Jumlah Pasar Tradisional
Ayah,28,7,3,0,91,1270,0.72,23.42,3
Buayan,33,3,1,1,91,1134.2,0.56,18.98,3
Puring,39,3,1,0,83,3537,0.93,117.45,1
Petanahan,32,3,3,1,113,1955,1.77,41.55,3
Klirong,33,5,3,0,108,1391,2.07,38.76,2
Buluspesantren,29,3,3,0,75,2089,0.69,1.99,1
Ambal,36,4,2,0,116,2837.02,0.79,2.7,1
Mirit,30,2,3,0,96,2030.01,1.24,6.65,1
Bonorowo,17,2,1,0,57,1315,0.45,3.4,0
Prembun,24,6,4,1,77,8517.7,1.1,5,3
Padureso,12,1,1,0,38,342,0.58,8,0
Kutowinangun,30,5,5,1,63,1404,0.61,8.3,3
Alian,33,4,3,0,77,1627,0.27,4.6,2
Poncowarno,12,2,0,0,32,1087.34,0.78,4.12,0
Kebumen,62,21,24,3,150,2296,0.43,1.98,5
Pejagoan,26,4,1,0,74,881.74,0.82,2.07,0
Sruweng,35,2,2,1,104,1372,1.81,1.98,2
Adimulyo,27,4,1,0,92,2990,0.89,1.96,2
Kuwarasan,30,4,1,1,96,1992.5,0.75,4.97,1
Rowokele,28,4,3,0,62,962,1.05,4.25,2
Sempor,40,6,1,0,76,1274,1.31,3.44,0
Gombong,26,6,10,2,87,1053,0.62,3.7,2
Karanganyar,25,6,8,0,59,3140,0.06,1.2,2
Karanggayam,37,5,2,0,94,1649,1.67,0.95,1
Sadang,13,2,1,0,32,1436.36,0.42,1.1,0
Karangsambung,26,5,1,0,79,1965,0.56,1.2,0
